name,title,company,email,phone,person_location,company_hq,recent_publication,publication_year,funding_stage,uses_3d_models,in_biotech_hub
Dr. Laura Allen,Associate Director - Hepatotoxicity,Roche,l.allen@roche.com,650-555-0901,South San Francisco CA,Basel Switzerland,Advanced 3D Models for Liver Toxicity,2023,Public,Yes,Yes
Dr. Steven Young,Principal Scientist - 3D Cell Culture,Bayer,s.young@bayer.com,,Remote - North Carolina,Whippany NJ,,,Public,Yes,Yes
Dr. Karen King,Director of ADME/Tox,AbbVie,k.king@abbvie.com,847-555-0123,North Chicago IL,North Chicago IL,,,Public,No,No
Dr. Brian Wright,Head of Safety Assessment,Celgene,,,Summit NJ,Summit NJ,In Vitro Liver Models for Preclinical Safety,2024,Public,Yes,Yes
Dr. Jessica Scott,Senior Director - Toxicology,Alexion,j.scott@alexion.com,475-555-0456,Boston MA,Boston MA,,,Public,,Yes
Dr. Thomas Green,Director of In Vitro Toxicology,Incyte,t.green@incyte.com,,Wilmington DE,Wilmington DE,3D Hepatocyte Cultures for Toxicity Testing,2023,Public,Yes,No
Dr. Nicole Adams,VP Safety Sciences,Alnylam,n.adams@alnylam.com,617-555-0789,Cambridge MA,Cambridge MA,,,Series D,Yes,Yes
Dr. Ryan Baker,Principal Toxicologist,Biohaven,,,New Haven CT,New Haven CT,,,Series C,,No
Dr. Stephanie Nelson,Director of Drug Safety,Kite Pharma,s.nelson@kitepharma.com,310-555-0234,Santa Monica CA,Santa Monica CA,,,Public,No,Yes
Dr. Eric Carter,Head of Preclinical Research,Bluebird Bio,e.carter@bluebirdbio.com,,Cambridge MA,Cambridge MA,Microphysiological Systems for Drug Testing,2024,Public,Yes,Yes
Dr. Rachel Mitchell,Senior Scientist - Liver Models,Editas Medicine,r.mitchell@editasmedicine.com,617-555-0567,Cambridge MA,Cambridge MA,,,Series C,Yes,Yes
Dr. Jason Perez,Director of Safety Pharmacology,Intellia Therapeutics,,,Cambridge MA,Cambridge MA,,,Series D,,Yes
Dr. Ashley Roberts,VP Toxicology and DMPK,Spark Therapeutics,a.roberts@sparktx.com,215-555-0890,Philadelphia PA,Philadelphia PA,,,Public,Yes,No
Dr. Matthew Turner,Principal Investigator - Hepatic Safety,CRISPR Therapeutics,m.turner@crisprtx.com,,Remote - Washington,Cambridge MA,DILI Prediction using 3D Liver Organoids,2024,Public,Yes,Yes
Dr. Samantha Phillips,Director of Preclinical Safety,Beam Therapeutics,s.phillips@beamtx.com,617-555-0345,Cambridge MA,Cambridge MA,,,Series C,No,Yes
Dr. Brandon Campbell,Head of In Vitro Toxicology,Verve Therapeutics,,,Cambridge MA,Cambridge MA,,,Series B,Yes,Yes
Dr. Rebecca Parker,Senior Director - Drug Safety,Prime Medicine,r.parker@primemedicine.com,617-555-0678,Cambridge MA,Cambridge MA,Advanced In Vitro Models for Gene Editing Safety,2023,Series B,Yes,Yes
Dr. Justin Evans,Director of Safety Assessment,Mammoth Biosciences,j.evans@mammoth.bio,,South San Francisco CA,Brisbane CA,,,Series C,,Yes
Dr. Melissa Edwards,VP Preclinical Development,Caribou Biosciences,m.edwards@cariboubio.com,510-555-0901,Berkeley CA,Berkeley CA,,,Series B,Yes,Yes
Dr. Andrew Collins,Principal Scientist - 3D Models,Graphite Bio,,,South San Francisco CA,South San Francisco CA,,,Series A,Yes,Yes
Dr. Christina Stewart,Director of Investigative Toxicology,Metagenomi,c.stewart@metagenomi.co,510-555-0123,Emeryville CA,Emeryville CA,3D Tissue Models for CRISPR Safety,2024,Series B,Yes,Yes
Dr. Joshua Sanchez,Head of Safety Pharmacology,Poseida Therapeutics,,,San Diego CA,San Diego CA,,,Public,,Yes
Dr. Angela Morris,Senior Toxicologist,Sana Biotechnology,a.morris@sana.com,206-555-0456,Seattle WA,Seattle WA,,,Series C,No,No
Dr. Tyler Rogers,Director of Drug Safety Evaluation,Arsenal Biosciences,t.rogers@arsenalbio.com,,South San Francisco CA,South San Francisco CA,,,Series B,,Yes
Dr. Brittany Reed,VP Safety Sciences,Umoja Biopharma,,,Remote - Oregon,Seattle WA,,,Series B,,No
Dr. Jordan Cook,Principal Scientist - Hepatotoxicity,Century Therapeutics,j.cook@centurytx.com,215-555-0789,Philadelphia PA,Philadelphia PA,Liver Organoids for CAR-T Safety Assessment,2023,Series C,Yes,No
Dr. Taylor Morgan,Director of Preclinical Safety,Allogene Therapeutics,,,South San Francisco CA,South San Francisco CA,,,Public,Yes,Yes
Dr. Alexandra Bell,Head of ADME/Tox,Lyell Immunopharma,a.bell@lyell.com,650-555-0234,South San Francisco CA,South San Francisco CA,,,Series C,No,Yes
Dr. Nathan Murphy,Senior Director - In Vitro Models,Vor Biopharma,n.murphy@vorbio.com,,Cambridge MA,Cambridge MA,,,Series B,Yes,Yes
Dr. Victoria Bailey,Director of Safety Assessment,Precision BioSciences,v.bailey@precisionbiosciences.com,919-555-0567,Durham NC,Durham NC,3D Models for Gene Editing Toxicity,2024,Public,Yes,No
Dr. Dylan Rivera,VP Toxicology,TCR2 Therapeutics,,,Cambridge MA,Cambridge MA,,,Series C,,Yes
Dr. Gabriella Cooper,Principal Toxicologist,Adaptimmune,g.cooper@adaptimmune.com,215-555-0890,Philadelphia PA,Oxfordshire UK,,,Public,Yes,No
